case_id,husband_age,wife_age,marriage_duration_years,num_children,husband_monthly_income,wife_monthly_income,husband_assets,wife_assets,monthly_household_expenses,husband_education,wife_education,husband_employment,wife_employment,standard_of_living,wife_health_condition,husband_health_condition,wife_career_sacrifice,custody_with,marriage_type,divorce_type,monthly_alimony_amount,alimony_duration_months
18,45,44,8,2,164680,0,1416684,78916,89629,12th Pass,12th Pass,Self-Employed,Unemployed,Upper-Middle,Good,Moderate,No,Wife,Arranged,Mutual Consent,59210,95
19,57,56,30,0,29406,5272,469921,30256,10505,Postgraduate,Graduate,Self-Employed,Employed,Low,Good,Moderate,No,N/A,Love,Contested,19356,237
20,36,40,17,3,114711,47346,4795358,550769,56435,Graduate,Professional Degree,Self-Employed,Business,Upper-Middle,Good,Good,No,Wife,Love,Contested,34540,180
21,46,50,9,3,13146,15226,108224,14108,3567,Graduate,Graduate,Employed,Self-Employed,Low,Poor,Moderate,Yes,Wife,Arranged,Contested,18271,176
22,49,52,20,2,128743,0,3484894,773351,35648,Graduate,12th Pass,Employed,Homemaker,Upper-Middle,Poor,Poor,Yes,Shared,Arranged,Contested,63214,293
23,51,51,13,2,71882,20955,712536,35385,32767,12th Pass,10th Pass,Employed,Employed,Middle,Poor,Good,No,Wife,Love,Contested,32364,186
24,52,52,34,4,47196,27131,1797726,307353,18272,12th Pass,Postgraduate,Employed,Employed,Middle,Moderate,Moderate,No,Husband,Court Marriage,Contested,32587,344
25,40,39,4,0,25172,18270,63560,5192,12942,10th Pass,Below 10th,Employed,Employed,Low,Good,Good,No,N/A,Arranged,Contested,2072,21
26,39,40,2,2,54026,34883,2255522,348920,27481,12th Pass,Below 10th,Business,Self-Employed,Middle,Moderate,Moderate,No,Shared,Arranged,Mutual Consent,12147,62
27,27,26,8,0,16741,8576,274854,51668,7980,Professional Degree,Below 10th,Self-Employed,Employed,Low,Good,Moderate,No,N/A,Court Marriage,Contested,4274,79
28,61,60,36,1,33424,16444,2940989,513894,16531,Graduate,Graduate,Business,Employed,Middle,Good,Moderate,No,Husband,Arranged,Contested,23453,330
29,31,34,2,2,12886,0,191297,12360,6586,Below 10th,Professional Degree,Self-Employed,Homemaker,Low,Good,Good,Yes,Wife,Arranged,Mutual Consent,19840,91
30,45,44,5,2,59716,46932,2780898,591875,28966,Postgraduate,Graduate,Employed,Business,Middle,Good,Poor,No,Wife,Arranged,Mutual Consent,11229,69
31,33,38,3,0,18987,17332,418052,81995,7747,Postgraduate,12th Pass,Employed,Employed,Low,Moderate,Good,No,N/A,Arranged,Mutual Consent,1000,40
32,42,43,10,1,29712,19626,317945,88897,9787,Postgraduate,12th Pass,Employed,Self-Employed,Low,Moderate,Good,Yes,Shared,Love,Mutual Consent,11528,143
33,28,33,2,2,43031,0,2861165,544323,20922,Graduate,Graduate,Business,Unemployed,Middle,Good,Moderate,No,Wife,Arranged,Mutual Consent,21524,38
34,49,52,30,2,254322,140977,46707768,10093423,87820,Below 10th,12th Pass,Employed,Employed,High,Moderate,Poor,Yes,Wife,Arranged,Contested,39555,297
35,38,41,10,2,59484,0,1085412,264089,19239,Graduate,10th Pass,Employed,Homemaker,Middle,Moderate,Poor,Yes,Wife,Arranged,Mutual Consent,36505,174
36,33,35,5,1,76635,0,1491670,47437,23105,12th Pass,Below 10th,Business,Homemaker,Middle,Good,Good,Yes,Wife,Arranged,Contested,35954,131
37,50,48,17,2,33368,28927,2504082,523103,14620,Below 10th,Graduate,Employed,Employed,Middle,Good,Good,No,Shared,Love,Mutual Consent,10049,165
38,26,31,6,1,51855,29958,1105877,105693,16735,10th Pass,Postgraduate,Self-Employed,Employed,Middle,Good,Good,No,Wife,Arranged,Contested,12271,94
39,44,46,13,1,27602,0,321043,79279,10004,Graduate,Graduate,Employed,Unemployed,Low,Good,Moderate,No,Shared,Arranged,Mutual Consent,16571,127
40,52,56,17,2,18018,0,79591,11465,8337,Postgraduate,12th Pass,Business,Homemaker,Low,Poor,Moderate,Yes,Wife,Love,Mutual Consent,30808,263
41,31,28,9,2,127184,0,6707989,1168429,62084,Professional Degree,10th Pass,Self-Employed,Homemaker,Upper-Middle,Poor,Good,Yes,Husband,Love,Contested,50289,209
42,32,33,8,0,73220,0,1919985,149953,25219,Postgraduate,Graduate,Employed,Unemployed,Middle,Good,Good,No,N/A,Love,Contested,26428,74
43,59,56,14,0,42817,21199,2292164,447360,21530,12th Pass,Graduate,Business,Employed,Middle,Good,Moderate,No,N/A,Court Marriage,Contested,11001,126
44,38,42,14,2,76474,0,1451660,15525,20448,Professional Degree,Postgraduate,Self-Employed,Homemaker,Middle,Good,Moderate,Yes,Wife,Arranged,Contested,40628,211
45,41,45,8,1,77130,32353,1319102,296233,42094,Professional Degree,Professional Degree,Business,Employed,Middle,Moderate,Moderate,Yes,Wife,Arranged,Mutual Consent,24141,131
46,60,57,37,1,43226,0,609491,29858,16212,Graduate,10th Pass,Unemployed,Unemployed,Middle,Good,Good,No,Shared,Court Marriage,Mutual Consent,25780,330
47,28,33,3,1,73877,0,1115112,76131,25669,Graduate,12th Pass,Employed,Homemaker,Middle,Poor,Moderate,Yes,Wife,Arranged,Contested,39730,152
48,26,24,4,0,26360,13759,239978,65,13894,12th Pass,12th Pass,Employed,Employed,Low,Moderate,Good,Yes,N/A,Love,Contested,8316,86
49,30,35,9,0,61157,28047,821513,77183,17718,Postgraduate,Graduate,Self-Employed,Self-Employed,Middle,Good,Poor,Yes,N/A,Arranged,Contested,14911,110
50,28,25,6,3,50764,32636,2470181,287713,18139,12th Pass,Below 10th,Self-Employed,Employed,Middle,Poor,Poor,Yes,Shared,Arranged,Mutual Consent,24431,146
51,53,58,7,2,274963,183623,23266481,1633304,98346,10th Pass,12th Pass,Business,Employed,High,Good,Poor,Yes,Wife,Arranged,Contested,23054,116
52,42,42,8,2,30188,0,1122087,77494,11390,Graduate,Postgraduate,Employed,Homemaker,Middle,Good,Good,Yes,Wife,Arranged,Mutual Consent,29777,137
53,50,55,14,2,60397,0,2406476,644681,30470,12th Pass,Below 10th,Employed,Homemaker,Middle,Moderate,Good,Yes,Wife,Love,Contested,44628,226
54,58,60,11,2,29806,0,466843,45720,15046,Graduate,Postgraduate,Self-Employed,Homemaker,Low,Good,Good,Yes,Shared,Arranged,Contested,25142,170
55,34,36,14,4,17012,8283,217351,47096,7272,Graduate,10th Pass,Employed,Employed,Low,Moderate,Good,No,Shared,Court Marriage,Contested,24967,164
56,60,60,21,2,132979,54164,3731055,265705,72809,Postgraduate,12th Pass,Employed,Employed,Upper-Middle,Good,Moderate,No,Wife,Love,Contested,34663,203
57,38,43,8,1,168549,107227,9622389,2335472,84821,Graduate,Graduate,Employed,Employed,Upper-Middle,Good,Good,No,Wife,Love,Mutual Consent,19549,93
58,55,53,3,2,44331,46927,604863,122982,20140,Postgraduate,Graduate,Employed,Employed,Middle,Poor,Good,No,Wife,Arranged,Mutual Consent,12585,106
59,39,37,18,1,41254,0,450546,102211,12782,Graduate,10th Pass,Self-Employed,Homemaker,Middle,Poor,Moderate,Yes,Shared,Love,Contested,33988,278
60,32,37,3,2,11982,0,230501,30394,4971,10th Pass,12th Pass,Employed,Homemaker,Low,Poor,Good,Yes,Husband,Court Marriage,Contested,18716,150
61,38,37,13,2,140196,70645,1618299,427019,44045,Postgraduate,12th Pass,Employed,Employed,Upper-Middle,Good,Good,Yes,Shared,Court Marriage,Mutual Consent,22082,144
62,47,51,12,3,21060,0,221571,24861,7170,Graduate,Graduate,Self-Employed,Homemaker,Low,Moderate,Moderate,Yes,Wife,Love,Contested,26350,207
63,45,50,15,2,99061,88451,7981317,1438780,45147,Postgraduate,Graduate,Business,Self-Employed,Upper-Middle,Poor,Good,Yes,Shared,Arranged,Mutual Consent,12469,201
64,40,44,18,1,45800,26569,718813,138027,13983,Professional Degree,12th Pass,Employed,Self-Employed,Middle,Poor,Moderate,No,Wife,Court Marriage,Contested,23518,243
65,42,42,5,0,18209,8543,58568,16731,5048,Professional Degree,Graduate,Self-Employed,Employed,Low,Good,Good,No,N/A,Love,Mutual Consent,3710,46
66,48,45,7,1,120004,0,7220967,291415,49137,Professional Degree,Graduate,Employed,Homemaker,Upper-Middle,Good,Moderate,Yes,Shared,Arranged,Mutual Consent,43765,142
67,50,50,11,0,499262,0,37354665,1519645,124958,12th Pass,12th Pass,Business,Homemaker,High,Good,Moderate,Yes,N/A,Arranged,Contested,158175,157
68,49,54,26,1,28076,6883,159317,22083,12147,Postgraduate,Graduate,Unemployed,Employed,Low,Poor,Good,No,Shared,Arranged,Contested,23703,289
69,53,51,11,1,131293,0,3568228,982556,68325,Professional Degree,10th Pass,Employed,Unemployed,Upper-Middle,Good,Good,No,Wife,Arranged,Contested,42891,115
70,39,38,15,1,133682,0,8649025,56266,41050,Postgraduate,Below 10th,Business,Homemaker,Upper-Middle,Moderate,Moderate,Yes,Shared,Love,Contested,63040,217
71,25,29,2,4,90237,57452,3646545,302235,32921,Postgraduate,Below 10th,Employed,Employed,Upper-Middle,Good,Good,Yes,Wife,Love,Mutual Consent,22281,63
72,49,51,15,1,424389,0,45346725,3857913,222766,Postgraduate,Professional Degree,Unemployed,Homemaker,High,Moderate,Good,Yes,Wife,Arranged,Mutual Consent,143164,207
73,31,35,13,1,40998,0,807243,73851,18906,12th Pass,Below 10th,Employed,Homemaker,Middle,Good,Good,Yes,Shared,Love,Contested,31525,202
74,33,36,14,0,62801,26877,2978568,22075,18249,12th Pass,12th Pass,Self-Employed,Self-Employed,Middle,Moderate,Good,Yes,N/A,Arranged,Contested,17975,154
75,48,49,17,2,90468,0,2633860,652359,32984,Graduate,Postgraduate,Business,Homemaker,Upper-Middle,Moderate,Moderate,Yes,Wife,Arranged,Contested,46824,246
76,25,30,5,0,57076,39434,376134,1005,27213,Professional Degree,Postgraduate,Employed,Employed,Middle,Good,Good,No,N/A,Arranged,Mutual Consent,3779,46
77,32,32,10,2,74739,0,2435904,349092,33590,10th Pass,12th Pass,Employed,Homemaker,Middle,Poor,Good,Yes,Husband,Arranged,Contested,40741,227
78,48,50,25,0,58152,0,1253024,21185,17253,Graduate,Graduate,Employed,Unemployed,Middle,Good,Poor,No,N/A,Love,Contested,22491,213
79,35,33,1,2,199443,61460,6228611,1492332,53599,Graduate,Graduate,Self-Employed,Business,Upper-Middle,Moderate,Good,No,Wife,Arranged,Contested,49239,55
80,41,39,1,3,40381,41058,2383002,533734,18353,Graduate,Postgraduate,Business,Employed,Middle,Poor,Good,Yes,Wife,Love,Mutual Consent,17202,104
81,32,30,12,0,31987,48243,2250506,487142,13840,Postgraduate,Postgraduate,Business,Employed,Middle,Moderate,Poor,No,N/A,Arranged,Contested,1000,125
82,59,60,38,1,59319,15325,2587207,571460,15885,12th Pass,12th Pass,Self-Employed,Employed,Middle,Good,Moderate,No,Wife,Arranged,Contested,29149,340
83,59,57,6,2,29870,7982,101221,28551,16202,12th Pass,Graduate,Business,Employed,Low,Good,Good,No,Shared,Arranged,Contested,11585,92
84,57,55,25,3,23410,0,477168,59666,7625,Postgraduate,Postgraduate,Employed,Homemaker,Low,Good,Moderate,Yes,Shared,Arranged,Mutual Consent,25782,282
85,29,34,4,2,78028,30817,1958884,506317,28543,Postgraduate,Graduate,Self-Employed,Employed,Middle,Good,Moderate,No,Wife,Arranged,Contested,25775,52
86,52,55,4,2,73737,35637,1485433,82099,22362,12th Pass,12th Pass,Employed,Employed,Middle,Good,Good,Yes,Husband,Love,Contested,22426,76
87,31,30,2,3,133324,0,6079100,822984,66469,Graduate,Professional Degree,Employed,Homemaker,Upper-Middle,Good,Good,Yes,Wife,Love,Mutual Consent,63449,92
88,33,32,11,2,79014,0,2043647,5462,42570,Graduate,Professional Degree,Self-Employed,Unemployed,Middle,Poor,Good,No,Shared,Love,Contested,32800,171
89,32,35,8,1,474731,217312,5951851,507348,149061,Graduate,Professional Degree,Employed,Business,High,Good,Good,Yes,Shared,Love,Contested,57250,116
90,36,37,12,0,16487,0,241925,33252,5522,Postgraduate,12th Pass,Employed,Homemaker,Low,Moderate,Moderate,Yes,N/A,Arranged,Mutual Consent,14716,185
91,58,60,39,2,379542,0,5800733,1582364,175331,Graduate,12th Pass,Business,Homemaker,High,Poor,Good,Yes,Shared,Arranged,Mutual Consent,133884,360
92,57,60,9,3,16291,15316,442738,42097,6652,Graduate,Graduate,Self-Employed,Employed,Low,Poor,Moderate,Yes,Shared,Court Marriage,Mutual Consent,23660,158
93,47,52,9,4,63281,24092,2467902,497831,17814,12th Pass,Postgraduate,Employed,Self-Employed,Middle,Poor,Good,No,Husband,Arranged,Contested,31333,155
94,48,45,8,3,75056,0,1192494,298350,39673,Below 10th,12th Pass,Employed,Homemaker,Middle,Good,Poor,Yes,Husband,Arranged,Contested,40683,147
95,61,60,14,3,43550,0,583318,57141,18872,Professional Degree,12th Pass,Business,Homemaker,Middle,Good,Good,Yes,Wife,Court Marriage,Mutual Consent,30135,196
96,59,60,33,2,11755,8622,193373,9817,4001,Postgraduate,10th Pass,Employed,Self-Employed,Low,Good,Good,No,Shared,Arranged,Mutual Consent,20360,285
97,46,48,23,3,13390,17521,106619,18909,5315,10th Pass,Graduate,Business,Self-Employed,Low,Moderate,Good,No,Shared,Love,Mutual Consent,14758,220
98,51,54,21,1,110888,0,2164490,184663,44363,12th Pass,Graduate,Employed,Homemaker,Upper-Middle,Good,Moderate,Yes,Wife,Love,Contested,51922,259
99,59,60,12,2,33938,0,2462503,481999,13833,Graduate,Graduate,Self-Employed,Homemaker,Middle,Good,Good,Yes,Wife,Love,Mutual Consent,29889,167
100,25,27,1,1,477390,0,23130518,934711,190570,12th Pass,Graduate,Employed,Homemaker,High,Moderate,Good,Yes,Wife,Love,Contested,137692,126
101,59,58,2,1,46721,0,2413965,109783,19554,10th Pass,Graduate,Self-Employed,Homemaker,Middle,Good,Good,Yes,Shared,Arranged,Contested,24739,110
102,61,59,13,2,496647,0,49883246,10115171,182768,Graduate,Postgraduate,Self-Employed,Homemaker,High,Good,Good,Yes,Wife,Love,Contested,161086,180
103,38,41,4,2,23829,0,59313,17323,7002,12th Pass,Graduate,Self-Employed,Unemployed,Low,Good,Good,No,Wife,Arranged,Mutual Consent,15625,63
104,27,24,4,1,17688,0,173695,12865,7948,Postgraduate,12th Pass,Self-Employed,Homemaker,Low,Moderate,Moderate,Yes,Shared,Arranged,Contested,18479,143
105,25,24,2,1,66180,0,2955589,633009,32279,Professional Degree,Graduate,Employed,Homemaker,Middle,Moderate,Good,Yes,Husband,Arranged,Contested,30321,125
106,29,29,3,3,151421,95016,4426712,706557,76059,Graduate,Below 10th,Business,Employed,Upper-Middle,Good,Good,No,Wife,Arranged,Contested,21755,47
107,50,47,16,2,32392,0,1755919,444515,8311,Postgraduate,Graduate,Employed,Homemaker,Middle,Poor,Good,Yes,Shared,Arranged,Mutual Consent,33136,238
108,38,39,14,2,28579,11900,63558,7415,10613,Professional Degree,Professional Degree,Employed,Employed,Low,Moderate,Good,No,Wife,Arranged,Mutual Consent,19573,169
109,51,50,30,1,23014,19321,142130,41432,12508,12th Pass,Graduate,Employed,Employed,Low,Moderate,Good,No,Wife,Love,Mutual Consent,13029,282
110,33,31,13,1,73205,0,658171,16269,19675,Professional Degree,Professional Degree,Employed,Homemaker,Middle,Moderate,Moderate,Yes,Shared,Arranged,Mutual Consent,35320,197
111,39,38,8,0,59709,43183,2870353,847886,28998,Graduate,12th Pass,Employed,Employed,Middle,Good,Good,No,N/A,Court Marriage,Contested,5802,70
112,39,43,12,2,66836,35561,1018839,258653,19237,12th Pass,12th Pass,Self-Employed,Employed,Middle,Good,Good,No,Wife,Arranged,Mutual Consent,26216,117
113,50,52,9,3,96830,0,1601664,416332,48162,12th Pass,Below 10th,Self-Employed,Unemployed,Upper-Middle,Good,Good,No,Wife,Love,Mutual Consent,45484,103
114,37,40,6,1,47255,0,1319479,333460,21343,Graduate,12th Pass,Employed,Homemaker,Middle,Poor,Good,Yes,Shared,Arranged,Mutual Consent,30957,181
115,56,58,26,1,124695,0,9628339,2489494,58296,Professional Degree,10th Pass,Unemployed,Homemaker,Upper-Middle,Poor,Good,Yes,Wife,Love,Contested,57264,352
116,56,58,2,0,42744,0,2773285,678195,23218,10th Pass,12th Pass,Employed,Homemaker,Middle,Good,Moderate,Yes,N/A,Arranged,Contested,24126,71
117,28,27,7,2,31549,37704,2246920,606342,16779,Graduate,Below 10th,Business,Employed,Middle,Poor,Good,Yes,Wife,Arranged,Mutual Consent,14378,148
118,54,58,14,0,481869,205147,37131108,5133012,164467,Graduate,12th Pass,Employed,Employed,High,Moderate,Good,Yes,N/A,Arranged,Mutual Consent,58129,135
119,61,60,6,2,74467,35618,2304741,649446,26999,12th Pass,Professional Degree,Employed,Employed,Middle,Moderate,Moderate,No,Wife,Love,Contested,21445,99
120,47,50,10,2,50845,0,1448298,167262,18922,12th Pass,Graduate,Self-Employed,Homemaker,Middle,Moderate,Good,Yes,Shared,Arranged,Mutual Consent,31216,171
121,39,41,8,3,82681,0,7897637,1726067,25149,Postgraduate,12th Pass,Self-Employed,Homemaker,Upper-Middle,Poor,Poor,Yes,Shared,Arranged,Contested,47574,187
122,53,54,31,2,20312,0,154774,32983,7400,Graduate,12th Pass,Self-Employed,Unemployed,Low,Good,Moderate,No,Wife,Arranged,Contested,26433,293
123,60,60,17,1,32529,33378,1572494,387256,17686,Graduate,12th Pass,Business,Employed,Middle,Moderate,Moderate,Yes,Wife,Arranged,Contested,19491,199
124,37,38,12,2,10976,12491,377644,83653,4356,12th Pass,10th Pass,Self-Employed,Employed,Low,Poor,Good,No,Husband,Arranged,Contested,9375,195
125,56,60,13,2,22383,19453,193425,2052,11992,Graduate,Professional Degree,Business,Employed,Low,Good,Good,No,Wife,Love,Contested,14478,118
126,31,36,3,0,21406,8538,130184,28867,5810,Graduate,Graduate,Employed,Employed,Low,Good,Moderate,No,N/A,Love,Mutual Consent,3075,40
127,46,43,12,2,21739,0,123583,863,5690,12th Pass,Graduate,Employed,Homemaker,Low,Moderate,Moderate,Yes,Wife,Arranged,Contested,28265,194
128,52,54,25,3,73062,37140,416993,66705,30875,12th Pass,Graduate,Unemployed,Self-Employed,Middle,Good,Good,No,Wife,Arranged,Mutual Consent,23453,229
129,26,29,7,1,93555,85243,4375784,1101318,44052,Graduate,Graduate,Employed,Employed,Upper-Middle,Good,Poor,No,Wife,Arranged,Contested,8956,93
130,30,29,11,2,72959,35537,1438451,357990,22999,10th Pass,Postgraduate,Employed,Self-Employed,Middle,Moderate,Poor,Yes,Wife,Arranged,Mutual Consent,27038,160
131,52,55,25,3,69167,0,1009622,254822,27736,10th Pass,12th Pass,Employed,Homemaker,Middle,Moderate,Good,Yes,Husband,Love,Mutual Consent,42612,288
132,52,55,16,2,65349,16949,524195,94734,33450,Professional Degree,12th Pass,Self-Employed,Employed,Middle,Good,Good,No,Wife,Arranged,Contested,33305,175
133,44,42,6,2,103263,64050,4526790,249623,49413,Professional Degree,12th Pass,Self-Employed,Self-Employed,Upper-Middle,Good,Good,No,Shared,Arranged,Contested,14028,74
134,54,57,23,1,151520,0,3421309,521385,48417,Graduate,Professional Degree,Employed,Homemaker,Upper-Middle,Poor,Good,Yes,Wife,Arranged,Mutual Consent,71955,320
135,35,32,14,1,195973,0,6953142,1076788,68657,12th Pass,Below 10th,Employed,Homemaker,Upper-Middle,Poor,Moderate,Yes,Shared,Love,Contested,74006,246
136,52,53,6,2,151899,0,3340671,325482,51909,12th Pass,Below 10th,Employed,Homemaker,Upper-Middle,Poor,Moderate,Yes,Wife,Court Marriage,Contested,67317,183
137,49,54,25,2,27460,13450,167497,21310,12792,Graduate,Professional Degree,Employed,Employed,Low,Moderate,Good,Yes,Shared,Arranged,Contested,17850,268
138,57,60,23,4,45168,0,1374840,359731,24411,Graduate,Graduate,Employed,Homemaker,Middle,Good,Good,Yes,Shared,Love,Contested,34633,269
139,25,28,6,1,67096,37501,1926739,299373,22411,Postgraduate,Graduate,Self-Employed,Self-Employed,Middle,Good,Poor,No,Shared,Arranged,Contested,10536,91
140,51,49,28,2,69591,47731,732328,154831,29679,Graduate,Postgraduate,Employed,Employed,Middle,Good,Moderate,No,Wife,Arranged,Contested,27833,266
141,37,41,11,1,50712,0,1294484,192546,27717,Professional Degree,Postgraduate,Employed,Homemaker,Middle,Good,Moderate,Yes,Shared,Arranged,Contested,32522,179
142,27,26,4,0,21990,14163,300690,55700,6537,12th Pass,Postgraduate,Employed,Self-Employed,Low,Good,Good,No,N/A,Arranged,Contested,3863,42
143,30,34,4,1,18048,0,93903,2608,8080,Below 10th,Postgraduate,Business,Homemaker,Low,Good,Good,Yes,Wife,Arranged,Contested,21403,132
144,32,31,7,1,397715,0,31144645,8702326,139039,Graduate,Postgraduate,Employed,Homemaker,High,Good,Poor,Yes,Wife,Love,Mutual Consent,136581,130
145,51,54,6,1,64227,26072,951930,124493,35164,Professional Degree,10th Pass,Employed,Self-Employed,Middle,Good,Moderate,Yes,Wife,Arranged,Contested,18253,108
146,33,31,6,1,25573,17566,461519,103606,7227,Postgraduate,Graduate,Employed,Self-Employed,Low,Moderate,Moderate,No,Wife,Court Marriage,Mutual Consent,11419,82
147,61,60,40,1,26834,6146,90547,18121,10341,Below 10th,Graduate,Employed,Employed,Low,Moderate,Moderate,No,Wife,Arranged,Contested,34108,360
148,57,59,8,4,70099,0,1497170,358993,22886,Graduate,Postgraduate,Self-Employed,Homemaker,Middle,Good,Good,Yes,Shared,Arranged,Contested,41666,152
149,48,53,29,3,58927,0,2944270,30802,15291,Graduate,Professional Degree,Business,Homemaker,Middle,Good,Poor,Yes,Shared,Arranged,Mutual Consent,39216,301
150,39,40,8,0,73948,0,2446445,686486,39863,Postgraduate,12th Pass,Employed,Unemployed,Middle,Poor,Good,No,N/A,Arranged,Mutual Consent,27625,123
151,56,60,33,3,14004,0,205299,51103,5888,12th Pass,Graduate,Self-Employed,Unemployed,Low,Moderate,Moderate,Yes,Wife,Love,Contested,33924,329
152,56,57,34,2,21117,11801,72254,18072,9718,12th Pass,10th Pass,Business,Employed,Low,Moderate,Good,No,Wife,Love,Mutual Consent,19157,321
153,48,52,12,3,47495,0,641378,89878,20711,12th Pass,12th Pass,Business,Unemployed,Middle,Poor,Moderate,No,Wife,Love,Mutual Consent,29627,170
154,36,33,15,1,74271,37701,2422780,578795,21875,12th Pass,Graduate,Self-Employed,Employed,Middle,Poor,Good,No,Shared,Arranged,Contested,21606,212
155,26,29,4,2,14734,0,376615,64986,4437,Below 10th,10th Pass,Employed,Homemaker,Low,Good,Poor,Yes,Husband,Arranged,Contested,18081,115
156,27,27,9,3,39786,32995,904414,136605,17423,Graduate,Postgraduate,Self-Employed,Employed,Middle,Good,Good,No,Wife,Love,Contested,21332,109
157,61,60,35,1,40921,0,2755635,648887,19803,Graduate,Postgraduate,Self-Employed,Homemaker,Middle,Good,Moderate,Yes,Shared,Arranged,Contested,33159,353
158,41,43,14,3,143479,103610,1268093,238832,62172,Postgraduate,Postgraduate,Business,Self-Employed,Upper-Middle,Moderate,Good,No,Wife,Love,Mutual Consent,18524,155
159,26,27,6,3,21737,13038,77186,1786,9153,Graduate,Below 10th,Business,Self-Employed,Low,Moderate,Good,Yes,Shared,Arranged,Contested,18320,123
160,26,23,5,4,118866,0,7678359,724475,56317,Graduate,Postgraduate,Self-Employed,Unemployed,Upper-Middle,Good,Good,No,Shared,Arranged,Mutual Consent,47323,85
161,52,57,22,1,312339,0,42049099,7847531,100911,12th Pass,Postgraduate,Employed,Unemployed,High,Good,Good,Yes,Wife,Arranged,Contested,107330,228
162,47,45,5,1,268570,0,42053019,11402267,126091,Postgraduate,Professional Degree,Self-Employed,Homemaker,High,Moderate,Moderate,Yes,Shared,Court Marriage,Contested,79299,150
163,61,60,31,1,185515,0,6916999,1936069,69265,Postgraduate,Below 10th,Employed,Homemaker,Upper-Middle,Moderate,Good,Yes,Shared,Love,Contested,71041,359
164,56,54,13,4,133934,46736,3499092,880628,60566,Graduate,Graduate,Employed,Employed,Upper-Middle,Moderate,Good,No,Shared,Love,Mutual Consent,43695,148
165,57,60,28,1,23269,0,329348,25127,7734,Graduate,Postgraduate,Self-Employed,Homemaker,Low,Good,Good,Yes,Wife,Love,Mutual Consent,30775,299
166,25,27,2,2,44352,0,2422802,344073,12917,Postgraduate,Graduate,Employed,Unemployed,Middle,Good,Good,Yes,Husband,Arranged,Mutual Consent,23398,57
167,43,48,20,1,45344,26240,2767972,359883,11732,Graduate,Postgraduate,Employed,Self-Employed,Middle,Good,Good,No,Wife,Arranged,Mutual Consent,15714,176
168,26,28,1,1,71301,0,2847053,374688,35011,Graduate,Graduate,Employed,Homemaker,Middle,Good,Good,Yes,Wife,Arranged,Contested,36585,85
